Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dwyane Wade,27,MIA,SG,79,79,38.6,10.8,22.0,0.491,1.1,3.5,0.317,9.7,18.5,0.524,0.516,7.5,9.8,0.765,1.1,3.9,5.0,7.5,2.2,1.3,3.4,2.3,30.2
LeBron James,24,CLE,SF,81,81,37.7,9.7,19.9,0.489,1.6,4.7,0.344,8.1,15.2,0.535,0.53,7.3,9.4,0.78,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7,28.4
Kobe Bryant,30,LAL,SG,82,82,36.1,9.8,20.9,0.467,1.4,4.1,0.351,8.3,16.8,0.496,0.502,5.9,6.9,0.856,1.1,4.1,5.2,4.9,1.5,0.5,2.6,2.3,26.8
Dirk Nowitzki,30,DAL,PF,81,81,37.7,9.6,20.0,0.479,0.8,2.1,0.359,8.8,17.9,0.493,0.498,6.0,6.7,0.89,1.1,7.3,8.4,2.4,0.8,0.8,1.9,2.2,25.9
Danny Granger,25,IND,SF,67,66,36.2,8.5,19.1,0.447,2.7,6.7,0.404,5.8,12.3,0.47,0.518,6.0,6.9,0.878,0.7,4.4,5.1,2.7,1.0,1.4,2.5,3.1,25.8
Kevin Durant,20,OKC,SF,74,74,39.0,8.9,18.8,0.476,1.3,3.1,0.422,7.6,15.7,0.486,0.51,6.1,7.1,0.863,1.0,5.5,6.5,2.8,1.3,0.7,3.0,1.8,25.3
Kevin Martin,25,SAC,SG,51,46,38.2,6.7,15.9,0.42,2.3,5.4,0.415,4.4,10.5,0.423,0.491,9.0,10.3,0.867,0.6,3.0,3.6,2.7,1.2,0.2,2.9,2.3,24.6
Al Jefferson,24,MIN,C,50,50,36.7,9.7,19.5,0.497,0.0,0.1,0.0,9.7,19.4,0.499,0.497,3.7,5.0,0.738,3.4,7.5,11.0,1.6,0.8,1.7,1.8,2.8,23.1
Carmelo Anthony,24,DEN,SF,66,66,34.5,8.1,18.3,0.443,1.0,2.6,0.371,7.2,15.7,0.455,0.469,5.6,7.1,0.793,1.6,5.2,6.8,3.4,1.1,0.4,3.0,3.0,22.8
Chris Paul,23,NOH,PG,78,78,38.5,8.1,16.1,0.503,0.8,2.3,0.364,7.3,13.8,0.525,0.528,5.8,6.7,0.868,0.9,4.7,5.5,11.0,2.8,0.1,3.0,2.7,22.8
