,Player,Age,Tm,First,Pts Won,Pts Max,Share
0,Michael Jordan,32,CHI,109,1114,1130,0.986
1,David Robinson,30,SAS,0,574,1130,0.508
2,Anfernee Hardaway,24,ORL,2,360,1130,0.319
3,Hakeem Olajuwon,33,HOU,1,238,1130,0.211
4,Scottie Pippen,30,CHI,0,226,1130,0.200
5,Gary Payton,27,SEA,0,98,1130,0.087
6,Karl Malone,32,UTA,1,85,1130,0.075
7,Shawn Kemp,26,SEA,0,73,1130,0.065
8,Grant Hill,23,DET,0,63,1130,0.056
9,Shaquille O'Neal,23,ORL,0,63,1130,0.056
10,John Stockton,33,UTA,0,12,1130,0.011
11,Charles Barkley,32,PHO,0,8,1130,0.007
12,Magic Johnson,36,LAL,0,8,1130,0.007
13,Alonzo Mourning,25,MIA,0,6,1130,0.005
14,Dennis Rodman,34,CHI,0,4,1130,0.004
15,Terrell Brandon,25,CLE,0,3,1130,0.003
16,Mitch Richmond,30,SAC,0,3,1130,0.003
