,Player,Age,Tm,First,Pts Won,Pts Max,Share
0,Shai Gilgeous-Alexander,26,OKC,71,913,1000,0.913
1,Nikola JokiÄ,29,DEN,29,787,1000,0.787
2,Giannis Antetokounmpo,30,MIL,0,470,1000,0.470
3,Jayson Tatum,26,BOS,0,311,1000,0.311
4,Donovan Mitchell,28,CLE,0,74,1000,0.074
5,LeBron James,40,LAL,0,16,1000,0.016
6,Cade Cunningham,23,DET,0,12,1000,0.012
7,Anthony Edwards,23,MIN,0,12,1000,0.012
8,Stephen Curry,36,GSW,0,2,1000,0.002
9,Jalen Brunson,28,NYK,0,1,1000,0.001
10,James Harden,35,LAC,0,1,1000,0.001
11,Evan Mobley,23,CLE,0,1,1000,0.001
