,Player,Age,Tm,First,Pts Won,Pts Max,Share
0,Tim Duncan,26,SAS,60,962,1190,0.808
1,Kevin Garnett,26,MIN,43,871,1190,0.732
2,Kobe Bryant,24,LAL,8,496,1190,0.417
3,Tracy McGrady,23,ORL,4,427,1190,0.359
4,Shaquille O'Neal,30,LAL,3,126,1190,0.106
5,Allen Iverson,27,PHI,0,83,1190,0.070
6,Dirk Nowitzki,24,DAL,0,43,1190,0.036
7,Ben Wallace,28,DET,1,33,1190,0.028
8,Jason Kidd,29,NJN,0,31,1190,0.026
9,Chris Webber,29,SAC,0,19,1190,0.016
10,Jamal Mashburn,30,NOH,0,1,1190,0.001
11,Steve Nash,28,DAL,0,1,1190,0.001
12,Paul Pierce,25,BOS,0,1,1190,0.001
