,Player,Age,Tm,First,Pts Won,Pts Max,Share
0,Charles Barkley,29,PHO,59,835,980,0.852
1,Hakeem Olajuwon,30,HOU,22,647,980,0.660
2,Michael Jordan,29,CHI,13,565,980,0.577
3,Patrick Ewing,30,NYK,4,359,980,0.366
4,Dominique Wilkins,33,ATL,0,54,980,0.055
5,David Robinson,27,SAS,0,33,980,0.034
6,Shaquille O'Neal,20,ORL,0,30,980,0.031
7,Karl Malone,29,UTA,0,10,980,0.010
8,Mark Price,28,CLE,0,10,980,0.010
9,Brad Daugherty,27,CLE,0,1,980,0.001
10,Clyde Drexler,30,POR,0,1,980,0.001
11,Joe Dumars,29,DET,0,1,980,0.001
12,Shawn Kemp,23,SEA,0,1,980,0.001
13,John Stockton,30,UTA,0,1,980,0.001
