,Player,Age,Tm,First,Pts Won,Pts Max,Share
0,Michael Jordan,28,CHI,80,900,960,0.938
1,Clyde Drexler,29,POR,12,561,960,0.584
2,David Robinson,26,SAS,2,337,960,0.351
3,Karl Malone,28,UTA,1,262,960,0.273
4,Patrick Ewing,29,NYK,0,100,960,0.104
5,Chris Mullin,28,GSW,0,81,960,0.084
6,Mark Price,27,CLE,0,66,960,0.069
7,Tim Hardaway,25,GSW,0,64,960,0.067
8,Scottie Pippen,26,CHI,1,32,960,0.033
9,Dennis Rodman,30,DET,0,26,960,0.027
10,Brad Daugherty,26,CLE,0,24,960,0.025
11,Charles Barkley,28,PHI,0,18,960,0.019
12,John Stockton,29,UTA,0,18,960,0.019
13,Larry Bird,35,BOS,0,3,960,0.003
14,Kevin Johnson,25,PHO,0,2,960,0.002
15,Danny Manning,25,LAC,0,1,960,0.001
16,Detlef Schrempf,29,IND,0,1,960,0.001
