,Player,Age,Tm,First,Pts Won,Pts Max,Share
0,Kevin Garnett,27,MIN,120,1219,1230,0.991
1,Tim Duncan,27,SAS,0,716,1230,0.582
2,Jermaine O'Neal,25,IND,2,523,1230,0.425
3,Peja StojakoviÄ,26,SAC,1,281,1230,0.228
4,Kobe Bryant,25,LAL,0,212,1230,0.172
5,Shaquille O'Neal,31,LAL,0,178,1230,0.145
6,Ben Wallace,29,DET,0,24,1230,0.020
7,Jason Kidd,30,NJN,0,17,1230,0.014
8,LeBron James,19,CLE,0,11,1230,0.009
9,Sam Cassell,34,MIN,0,4,1230,0.003
10,Baron Davis,24,NOH,0,4,1230,0.003
11,Dirk Nowitzki,25,DAL,0,4,1230,0.003
12,Andrei Kirilenko,22,UTA,0,2,1230,0.002
13,Carmelo Anthony,19,DEN,0,1,1230,0.001
14,Yao Ming,23,HOU,0,1,1230,0.001
15,Michael Redd,24,MIL,0,1,1230,0.001
