,Player,Age,Tm,First,Pts Won,Pts Max,Share
0,Shaquille O'Neal,27,LAL,120,1207,1210,0.998
1,Kevin Garnett,23,MIN,0,408,1210,0.337
2,Alonzo Mourning,29,MIA,0,367,1210,0.303
3,Karl Malone,36,UTA,0,312,1210,0.258
4,Tim Duncan,23,SAS,0,248,1210,0.205
5,Gary Payton,31,SEA,0,180,1210,0.149
6,Allen Iverson,24,PHI,1,132,1210,0.109
7,Grant Hill,27,DET,0,113,1210,0.093
8,Chris Webber,26,SAC,0,96,1210,0.079
9,Vince Carter,23,TOR,0,51,1210,0.042
10,Jason Kidd,26,PHO,0,25,1210,0.021
11,Kobe Bryant,21,LAL,0,3,1210,0.002
12,Darrell Armstrong,31,ORL,0,1,1210,0.001
13,Michael Finley,26,DAL,0,1,1210,0.001
14,Reggie Miller,34,IND,0,1,1210,0.001
15,Jalen Rose,27,IND,0,1,1210,0.001
