,Player,Age,Tm,First,Pts Won,Pts Max,Share
0,Allen Iverson,25,PHI,93,1121,1240,0.904
1,Tim Duncan,24,SAS,18,706,1240,0.569
2,Shaquille O'Neal,28,LAL,7,578,1240,0.466
3,Chris Webber,27,SAC,5,521,1240,0.420
4,Kevin Garnett,24,MIN,1,151,1240,0.122
5,Tracy McGrady,21,ORL,0,64,1240,0.052
6,Karl Malone,37,UTA,0,21,1240,0.017
7,Jason Kidd,27,PHO,0,18,1240,0.015
8,Kobe Bryant,22,LAL,0,11,1240,0.009
9,David Robinson,35,SAS,0,8,1240,0.006
10,Ray Allen,25,MIL,0,7,1240,0.006
11,Vince Carter,24,TOR,0,7,1240,0.006
12,Paul Pierce,23,BOS,0,5,1240,0.004
13,Jerry Stackhouse,26,DET,0,3,1240,0.002
14,Michael Finley,27,DAL,0,1,1240,0.001
15,Anthony Mason,34,MIA,0,1,1240,0.001
16,John Stockton,38,UTA,0,1,1240,0.001
