Player,Age,Tm,First,Pts Won,Pts Max,Share
Michael Jordan,27,CHI,77,891,960,0.928
Magic Johnson,31,LAL,10,497,960,0.518
David Robinson,25,SAS,6,476,960,0.496
Charles Barkley,27,PHI,2,222,960,0.231
Karl Malone,27,UTA,0,142,960,0.148
Clyde Drexler,28,POR,1,75,960,0.078
Kevin Johnson,24,PHO,0,32,960,0.033
Dominique Wilkins,31,ATL,0,29,960,0.03
Larry Bird,34,BOS,0,25,960,0.026
Terry Porter,27,POR,0,25,960,0.026
Patrick Ewing,28,NYK,0,20,960,0.021
John Stockton,28,UTA,0,15,960,0.016
Isiah Thomas,29,DET,0,11,960,0.011
Robert Parish,37,BOS,0,10,960,0.01
Joe Dumars,27,DET,0,8,960,0.008
Bernard King,34,WSB,0,7,960,0.007
Kenny Smith,25,HOU,0,5,960,0.005
Hakeem Olajuwon,28,HOU,0,4,960,0.004
Tim Hardaway,24,GSW,0,1,960,0.001
Kevin McHale,33,BOS,0,1,960,0.001
