Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,CHI,75.76,78.79,72.73,79.17,66.67,77.14,74.19,71.43,79.49
2,SAS,75.76,84.85,66.67,83.33,72.92,70.59,81.25,55.56,81.58
3,OKC,71.21,78.79,63.64,72.22,70.83,79.41,62.5,55.56,84.38
4,MIA,69.7,84.85,54.55,72.92,61.11,79.41,59.38,75.0,74.36
5,IND,63.64,69.7,57.58,60.42,72.22,63.64,63.64,57.14,63.64
6,LAL,62.12,78.79,45.45,50.0,66.67,58.82,65.62,71.43,52.38
7,MEM,62.12,78.79,45.45,83.33,54.17,55.88,68.75,75.0,61.54
8,ATL,60.61,69.7,51.52,64.58,50.0,58.82,62.5,42.86,56.67
9,LAC,60.61,72.73,48.48,61.11,60.42,64.52,57.14,53.85,70.83
10,BOS,59.09,72.73,45.45,66.67,38.89,46.88,70.59,54.55,63.33
11,DEN,57.58,60.61,54.55,88.89,45.83,51.43,64.52,50.0,62.07
12,ORL,56.06,63.64,48.48,62.5,38.89,62.86,48.39,28.57,52.94
13,DAL,54.55,69.7,39.39,55.56,54.17,61.76,46.88,46.67,51.61
14,NYK,54.55,66.67,42.42,58.33,44.44,48.57,61.29,70.0,55.88
15,UTA,54.55,75.76,33.33,61.11,52.08,46.88,61.76,53.85,51.72
16,PHI,53.03,57.58,48.48,58.33,38.89,58.82,46.88,20.0,70.0
17,HOU,51.52,66.67,36.36,61.11,47.92,58.82,43.75,61.54,50.0
18,PHO,50.0,57.58,42.42,55.56,47.92,41.18,59.38,61.54,42.42
19,MIL,46.97,51.52,42.42,50.0,38.89,39.39,54.55,40.0,52.0
20,POR,42.42,60.61,24.24,44.44,41.67,52.94,31.25,21.43,50.0
21,MIN,39.39,39.39,39.39,38.89,39.58,50.0,28.12,50.0,44.83
22,DET,37.88,54.55,21.21,41.67,27.78,31.43,45.16,63.64,30.77
23,GSW,34.85,36.36,33.33,38.89,33.33,43.33,27.78,29.41,30.43
24,TOR,34.85,39.39,30.3,31.25,44.44,30.3,39.39,12.5,36.36
25,NJN,33.33,27.27,39.39,33.33,33.33,28.57,38.71,75.0,23.53
26,SAC,33.33,48.48,18.18,33.33,33.33,33.33,33.33,46.15,20.0
27,CLE,31.82,33.33,30.3,27.08,44.44,41.94,22.86,45.45,25.71
28,NOH,31.82,33.33,30.3,38.89,29.17,24.24,39.39,30.77,24.0
29,WAS,30.3,33.33,27.27,33.33,22.22,21.21,39.39,54.55,29.73
30,CHA,10.61,12.12,9.09,10.42,11.11,12.5,8.82,33.33,5.0
