Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,PHO,78.05,78.05,78.05,83.33,75.0,82.76,66.67,75.0,80.43
2,MEM,68.29,73.17,63.41,66.67,69.23,68.33,68.18,62.5,66.0
3,GSW,64.63,75.61,53.66,66.67,63.46,71.19,47.83,54.55,77.27
4,MIA,64.63,70.73,58.54,67.31,60.0,64.41,65.22,33.33,67.39
5,DAL,63.41,70.73,56.1,53.33,69.23,59.32,73.91,58.33,65.85
6,BOS,62.2,68.29,56.1,63.46,60.0,56.67,77.27,25.0,79.55
7,MIL,62.2,65.85,58.54,63.46,60.0,60.0,68.18,66.67,67.39
8,PHI,62.2,58.54,65.85,61.54,63.33,60.34,66.67,50.0,71.79
9,UTA,59.76,70.73,48.78,53.33,63.46,62.07,54.17,14.29,77.27
10,DEN,58.54,56.1,60.98,63.33,55.77,56.9,62.5,72.73,53.49
11,TOR,58.54,58.54,58.54,57.69,60.0,56.14,64.0,53.85,64.1
12,CHI,56.1,65.85,46.34,55.77,56.67,64.41,34.78,50.0,53.49
13,MIN,56.1,63.41,48.78,46.67,61.54,52.54,65.22,50.0,57.14
14,BRK,53.66,48.78,58.54,59.62,43.33,52.54,56.52,66.67,50.0
15,CLE,53.66,60.98,46.34,51.92,56.67,60.34,37.5,71.43,53.66
16,ATL,52.44,65.85,39.02,50.0,56.67,48.28,62.5,70.0,57.14
17,CHO,52.44,53.66,51.22,51.92,53.33,48.33,63.64,42.86,51.06
18,LAC,51.22,60.98,41.46,53.33,50.0,49.18,57.14,66.67,48.78
19,NYK,45.12,41.46,48.78,42.31,50.0,42.37,52.17,45.45,45.24
20,NOP,43.9,46.34,41.46,36.67,48.08,38.98,56.52,57.14,43.4
21,WAS,42.68,51.22,34.15,46.15,36.67,46.55,33.33,66.67,28.95
22,SAS,41.46,39.02,43.9,33.33,46.15,38.98,47.83,54.55,44.19
23,LAL,40.24,51.22,29.27,50.0,34.62,46.55,25.0,41.67,37.14
24,SAC,36.59,39.02,34.15,33.33,38.46,36.67,36.36,46.67,26.83
25,POR,32.93,41.46,24.39,53.33,21.15,42.37,8.7,16.67,21.15
26,IND,30.49,39.02,21.95,21.15,46.67,33.33,22.73,17.65,42.42
27,OKC,29.27,29.27,29.27,23.33,32.69,31.03,25.0,53.85,21.95
28,DET,28.05,31.71,24.39,34.62,16.67,22.41,41.67,53.85,15.38
29,ORL,26.83,29.27,24.39,23.08,33.33,21.67,40.91,22.22,13.33
30,HOU,24.39,26.83,21.95,30.0,21.15,25.86,20.83,25.0,16.98
