Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,San Antonio Spurs,75.61,80.49,70.73,75.0,75.93,66.67,86.49,71.43,86.49
2,Utah Jazz,73.17,80.49,65.85,85.71,66.67,72.92,73.53,60.0,86.67
3,Phoenix Suns,71.95,78.05,65.85,71.43,72.22,79.17,61.76,80.0,68.29
4,Orlando Magic,69.51,95.12,43.9,69.64,69.23,78.72,57.14,50.0,78.72
5,Seattle SuperSonics,69.51,78.05,60.98,82.14,62.96,73.33,64.86,44.44,84.44
6,New York Knicks,67.07,70.73,63.41,66.07,69.23,65.22,69.44,50.0,65.0
7,Indiana Pacers,63.41,80.49,46.34,62.5,65.38,58.7,69.44,46.15,65.85
8,Charlotte Hornets,60.98,70.73,51.22,64.29,53.85,64.58,55.88,38.46,60.98
9,Los Angeles Lakers,58.54,70.73,46.34,64.29,55.56,64.44,51.35,80.0,53.85
10,Chicago Bulls,57.32,68.29,46.34,62.5,46.15,47.92,70.59,33.33,73.17
11,Houston Rockets,57.32,60.98,53.66,71.43,50.0,63.04,50.0,38.46,60.0
12,Portland Trail Blazers,53.66,63.41,43.9,57.14,51.85,55.56,51.35,40.0,61.36
13,Cleveland Cavaliers,52.44,63.41,41.46,58.93,38.46,59.57,42.86,55.56,53.12
14,Atlanta Hawks,51.22,58.54,43.9,50.0,53.85,45.83,58.82,50.0,56.1
15,Denver Nuggets,50.0,56.1,43.9,50.0,50.0,43.48,58.33,41.18,52.5
16,Sacramento Kings,47.56,65.85,29.27,50.0,46.3,55.56,37.84,53.33,42.11
17,Dallas Mavericks,43.9,46.34,41.46,46.43,42.59,39.13,50.0,52.63,33.33
18,Boston Celtics,42.68,48.78,36.59,42.86,42.31,41.3,44.44,56.25,43.24
19,Milwaukee Bucks,41.46,53.66,29.27,46.43,30.77,39.58,44.12,62.5,20.69
20,Miami Heat,39.02,53.66,24.39,44.64,26.92,36.96,41.67,27.27,45.45
21,New Jersey Nets,36.59,48.78,24.39,37.5,34.62,38.0,34.38,47.06,33.33
22,Detroit Pistons,34.15,53.66,14.63,37.5,26.92,36.96,30.56,55.56,17.02
23,Golden State Warriors,31.71,36.59,26.83,25.0,35.19,31.11,32.43,41.67,25.58
24,Philadelphia 76ers,29.27,34.15,24.39,28.57,30.77,29.17,29.41,21.43,25.71
25,Minnesota Timberwolves,25.61,31.71,19.51,32.14,22.22,23.4,28.57,53.85,11.11
26,Washington Bullets,25.61,31.71,19.51,28.57,19.23,24.44,27.03,43.75,12.9
27,Los Angeles Clippers,20.73,31.71,9.76,25.0,18.52,16.67,26.47,40.0,15.69
