Rk,Team,Overall,Home,Road,E,W,Pre,Post,≤3,≥10
1,Golden State Warriors,81.71,87.8,75.61,83.33,80.77,83.93,76.92,42.86,88.89
2,San Antonio Spurs,74.39,75.61,73.17,83.33,69.23,76.79,69.23,61.54,78.95
3,Houston Rockets,67.07,73.17,60.98,63.33,69.23,68.97,62.5,72.73,73.17
4,Boston Celtics,64.63,73.17,56.1,69.23,56.67,64.91,64.0,53.85,60.71
5,Cleveland Cavaliers,62.2,75.61,48.78,67.31,53.33,70.91,44.44,42.86,62.5
6,Los Angeles Clippers,62.2,70.73,53.66,66.67,59.62,62.5,61.54,33.33,70.21
7,Toronto Raptors,62.2,68.29,56.1,65.38,56.67,57.89,72.0,53.33,76.47
8,Utah Jazz,62.2,70.73,53.66,66.67,59.62,61.4,64.0,50.0,69.7
9,Washington Wizards,59.76,73.17,46.34,61.54,56.67,61.82,55.56,60.0,60.0
10,Oklahoma City Thunder,57.32,68.29,46.34,60.0,55.77,56.14,60.0,63.16,52.27
11,Atlanta Hawks,52.44,56.1,48.78,57.69,43.33,57.14,42.31,46.67,44.74
12,Memphis Grizzlies,52.44,58.54,46.34,50.0,53.85,58.62,37.5,58.33,45.95
13,Indiana Pacers,51.22,70.73,31.71,50.0,53.33,50.88,52.0,66.67,54.76
14,Milwaukee Bucks,51.22,56.1,46.34,51.92,50.0,45.45,62.96,80.0,48.84
15,Chicago Bulls,50.0,60.98,39.02,53.85,43.33,49.12,52.0,45.45,42.5
16,Portland Trail Blazers,50.0,60.98,39.02,43.33,53.85,41.07,69.23,38.89,52.94
17,Miami Heat,50.0,56.1,43.9,51.92,46.67,43.86,64.0,57.14,59.38
18,Denver Nuggets,48.78,53.66,43.9,53.33,46.15,44.64,57.69,33.33,55.81
19,Detroit Pistons,45.12,58.54,31.71,40.38,53.33,47.37,40.0,41.67,46.94
20,Charlotte Hornets,43.9,53.66,34.15,42.31,46.67,42.86,46.15,0.0,51.35
21,New Orleans Pelicans,41.46,51.22,31.71,46.67,38.46,40.35,44.0,53.85,43.59
22,Dallas Mavericks,40.24,51.22,29.27,46.67,36.54,39.29,42.31,40.0,35.0
23,Sacramento Kings,39.02,41.46,36.59,36.67,40.38,42.11,32.0,62.5,25.0
24,Minnesota Timberwolves,37.8,48.78,26.83,43.33,34.62,38.6,36.0,41.18,48.65
25,New York Knicks,37.8,46.34,29.27,42.31,30.0,40.35,32.0,41.18,28.57
26,Orlando Magic,35.37,39.02,31.71,38.46,30.0,36.21,33.33,50.0,23.81
27,Philadelphia 76ers,34.15,41.46,26.83,36.54,30.0,37.5,26.92,52.94,19.44
28,Los Angeles Lakers,31.71,41.46,21.95,33.33,30.77,32.76,29.17,33.33,31.11
29,Phoenix Suns,29.27,36.59,21.95,43.33,21.15,31.58,24.0,64.29,17.95
30,Brooklyn Nets,24.39,31.71,17.07,21.15,30.0,16.07,42.31,33.33,23.08
